date,symbol,direction,entry_signal_close_minute,votes,required_votes,rvol,rsi,rvol_decisive_at_entry,rsi_decisive_at_entry
2026-06-08,US.NVDA,SHORT,687,2,2,True,True,True,True
2026-06-08,US.TSLA,LONG,596,2,2,True,True,True,True
2026-06-09,US.IWM,LONG,609,2,2,True,True,True,True
2026-06-11,US.IWM,LONG,673,2,2,True,True,True,True
2026-06-11,US.META,SHORT,714,2,2,True,True,True,True
2026-06-11,US.MU,LONG,696,2,2,True,True,True,True
2026-06-11,US.QQQ,LONG,676,2,2,True,True,True,True
2026-06-11,US.SPY,LONG,624,2,2,True,True,True,True
2026-06-12,US.MU,LONG,653,2,2,True,True,True,True
2026-06-12,US.TSLA,SHORT,701,2,2,True,True,True,True
2026-06-15,US.MSFT,LONG,630,2,2,True,True,True,True
2026-06-15,US.QQQ,LONG,595,2,2,True,True,True,True
2026-06-15,US.SPY,LONG,589,2,2,True,True,True,True
2026-06-16,US.NVDA,SHORT,600,2,2,True,True,True,True
2026-06-16,US.QQQ,SHORT,621,2,2,True,True,True,True
2026-06-16,US.SPY,SHORT,606,2,2,True,True,True,True
2026-06-17,US.MSFT,SHORT,714,2,2,True,True,True,True
2026-06-17,US.NVDA,LONG,592,2,2,True,True,True,True
2026-06-17,US.NVDA,SHORT,641,2,2,True,True,True,True
2026-06-17,US.SPY,SHORT,639,2,2,True,True,True,True
2026-06-17,US.TSLA,SHORT,649,2,2,True,True,True,True
2026-06-18,US.IWM,SHORT,699,2,2,True,True,True,True
2026-06-22,US.AMD,LONG,602,2,2,True,True,True,True
2026-06-22,US.IWM,LONG,589,2,2,True,True,True,True
2026-06-22,US.TSLA,LONG,663,2,2,True,True,True,True
2026-06-23,US.TSLA,SHORT,597,2,2,True,True,True,True
2026-06-24,US.NVDA,SHORT,622,2,2,True,True,True,True
2026-06-25,US.IWM,SHORT,692,2,2,True,True,True,True
2026-06-25,US.MSFT,SHORT,603,2,2,True,True,True,True
2026-06-25,US.QQQ,SHORT,672,2,2,True,True,True,True
2026-06-25,US.SPY,SHORT,672,2,2,True,True,True,True
2026-06-26,US.MU,LONG,690,2,2,True,True,True,True
2026-06-26,US.NVDA,LONG,690,2,2,True,True,True,True
2026-06-29,US.AAPL,SHORT,718,2,2,True,True,True,True
2026-06-29,US.IWM,SHORT,646,2,2,True,True,True,True
2026-06-29,US.META,LONG,627,2,2,True,True,True,True
2026-06-30,US.META,SHORT,601,2,2,True,True,True,True
2026-06-30,US.MSFT,LONG,598,2,2,True,True,True,True
2026-06-30,US.QQQ,LONG,613,2,2,True,True,True,True
2026-06-30,US.SPY,LONG,592,2,2,True,True,True,True
2026-06-30,US.TSLA,LONG,681,2,2,True,True,True,True
2026-07-01,US.IWM,LONG,670,2,2,True,True,True,True
2026-07-01,US.QQQ,LONG,677,2,2,True,True,True,True
2026-07-02,US.IWM,LONG,600,2,2,True,True,True,True
2026-07-02,US.MSFT,LONG,685,2,2,True,True,True,True
2026-07-02,US.QQQ,LONG,614,2,2,True,True,True,True
2026-07-02,US.SPY,LONG,608,2,2,True,True,True,True
2026-07-06,US.IWM,LONG,663,2,2,True,True,True,True
2026-07-06,US.MU,LONG,619,2,2,True,True,True,True
2026-07-06,US.NVDA,LONG,687,2,2,True,True,True,True
2026-07-06,US.QQQ,LONG,591,2,2,True,True,True,True
2026-07-06,US.SPY,LONG,626,2,2,True,True,True,True
2026-07-07,US.IWM,SHORT,700,2,2,True,True,True,True
2026-07-07,US.META,LONG,620,2,2,True,True,True,True
2026-07-07,US.MU,SHORT,596,2,2,True,True,True,True
2026-07-07,US.QQQ,SHORT,609,2,2,True,True,True,True
2026-07-07,US.SPY,SHORT,598,2,2,True,True,True,True
2026-07-08,US.SPY,SHORT,637,2,2,True,True,True,True
2026-07-08,US.TSLA,SHORT,593,2,2,True,True,True,True
2026-07-09,US.AMD,LONG,611,2,2,True,True,True,True
2026-07-09,US.IWM,LONG,600,2,2,True,True,True,True
2026-07-09,US.MU,LONG,593,2,2,True,True,True,True
2026-07-09,US.NVDA,SHORT,695,2,2,True,True,True,True
2026-07-09,US.QQQ,LONG,685,2,2,True,True,True,True
2026-07-09,US.SPY,LONG,593,2,2,True,True,True,True
2026-07-09,US.TSLA,LONG,698,2,2,True,True,True,True
2026-07-10,US.AAPL,SHORT,712,2,2,True,True,True,True
2026-07-10,US.IWM,SHORT,698,2,2,True,True,True,True
2026-07-10,US.MU,LONG,677,2,2,True,True,True,True
2026-07-10,US.QQQ,LONG,590,2,2,True,True,True,True
2026-07-10,US.SPY,SHORT,634,2,2,True,True,True,True
2026-07-13,US.SPY,SHORT,618,2,2,True,True,True,True
2026-07-14,US.IWM,SHORT,698,2,2,True,True,True,True
2026-07-14,US.SPY,LONG,637,2,2,True,True,True,True
2026-07-15,US.MU,SHORT,592,2,2,True,True,True,True
2026-07-15,US.QQQ,SHORT,587,2,2,True,True,True,True
2026-07-15,US.SPY,SHORT,591,2,2,True,True,True,True
2026-07-16,US.AAPL,LONG,623,2,2,True,True,True,True
2026-07-16,US.AMD,SHORT,683,2,2,True,True,True,True
2026-07-16,US.IWM,LONG,595,2,2,True,True,True,True
2026-07-16,US.MU,SHORT,586,2,2,True,True,True,True
2026-07-16,US.SPY,LONG,694,2,2,True,True,True,True
2026-07-16,US.SPY,SHORT,590,2,2,True,True,True,True
2026-07-17,US.IWM,LONG,718,2,2,True,True,True,True
2026-07-17,US.MSFT,SHORT,605,2,2,True,True,True,True
2026-07-17,US.MU,LONG,691,2,2,True,True,True,True
2026-07-17,US.QQQ,LONG,690,2,2,True,True,True,True
2026-07-17,US.SPY,LONG,699,2,2,True,True,True,True
2026-07-20,US.IWM,SHORT,600,2,2,True,True,True,True
2026-07-20,US.MU,SHORT,661,2,2,True,True,True,True
2026-07-20,US.TSLA,SHORT,591,2,2,True,True,True,True
2026-07-21,US.AMD,LONG,592,2,2,True,True,True,True
2026-07-21,US.NVDA,SHORT,715,2,2,True,True,True,True
2026-07-22,US.AMD,LONG,647,2,2,True,True,True,True
2026-07-22,US.IWM,SHORT,632,2,2,True,True,True,True
2026-07-22,US.META,SHORT,715,2,2,True,True,True,True
2026-07-22,US.MU,LONG,593,2,2,True,True,True,True
2026-07-22,US.NVDA,LONG,598,2,2,True,True,True,True
2026-07-22,US.QQQ,LONG,664,2,2,True,True,True,True
2026-07-22,US.SPY,LONG,597,2,2,True,True,True,True
2026-07-22,US.TSLA,LONG,594,2,2,True,True,True,True
2026-07-23,US.AAPL,SHORT,599,2,2,True,True,True,True
2026-07-24,US.AMD,SHORT,690,2,2,True,True,True,True
2026-07-24,US.IWM,SHORT,594,2,2,True,True,True,True
2026-07-24,US.MU,SHORT,591,2,2,True,True,True,True
2026-07-24,US.QQQ,SHORT,606,2,2,True,True,True,True
2026-07-24,US.SPY,SHORT,598,2,2,True,True,True,True
2026-07-24,US.TSLA,SHORT,604,2,2,True,True,True,True
2026-07-27,US.AAPL,LONG,649,2,2,True,True,True,True
2026-07-27,US.TSLA,SHORT,684,2,2,True,True,True,True
2026-07-28,US.MU,SHORT,601,2,2,True,True,True,True
2026-07-28,US.NVDA,SHORT,596,2,2,True,True,True,True
2026-07-28,US.QQQ,SHORT,608,2,2,True,True,True,True
2026-07-28,US.TSLA,SHORT,609,2,2,True,True,True,True
2026-07-29,US.AMD,SHORT,612,2,2,True,True,True,True
2026-07-29,US.IWM,SHORT,601,2,2,True,True,True,True
2026-07-29,US.META,SHORT,588,2,2,True,True,True,True
2026-07-29,US.SPY,SHORT,603,2,2,True,True,True,True
2026-07-29,US.TSLA,SHORT,662,2,2,True,True,True,True
2026-07-30,US.MU,LONG,611,2,2,True,True,True,True
2026-07-30,US.QQQ,LONG,705,2,2,True,True,True,True
2026-07-30,US.SPY,LONG,707,2,2,True,True,True,True
2026-07-31,US.IWM,SHORT,702,2,2,True,True,True,True
2026-07-31,US.SPY,SHORT,683,2,2,True,True,True,True
2026-07-31,US.TSLA,SHORT,687,2,2,True,True,True,True
2026-08-04,US.AAPL,LONG,593,2,2,True,True,True,True
2026-08-04,US.AMD,LONG,654,2,2,True,True,True,True
2026-08-04,US.NVDA,SHORT,652,2,2,True,True,True,True
2026-08-04,US.QQQ,LONG,602,2,2,True,True,True,True
2026-08-04,US.SPY,LONG,586,2,2,True,True,True,True
2026-08-05,US.MSFT,SHORT,671,2,2,True,True,True,True
2026-08-05,US.MU,LONG,610,2,2,True,True,True,True
2026-08-06,US.IWM,LONG,668,2,2,True,True,True,True
2026-08-07,US.NVDA,LONG,662,2,2,True,True,True,True
2026-08-07,US.TSLA,LONG,597,2,2,True,True,True,True
2026-08-10,US.MSFT,LONG,708,2,2,True,True,True,True
2026-08-10,US.MU,LONG,706,2,2,True,True,True,True
2026-08-10,US.QQQ,LONG,608,2,2,True,True,True,True
2026-08-10,US.SPY,LONG,602,2,2,True,True,True,True
2026-08-10,US.TSLA,LONG,589,2,2,True,True,True,True
2026-08-11,US.IWM,LONG,615,2,2,True,True,True,True
2026-08-11,US.MU,SHORT,615,2,2,True,True,True,True
2026-08-11,US.QQQ,SHORT,587,2,2,True,True,True,True
2026-08-11,US.SPY,SHORT,673,2,2,True,True,True,True
2026-08-11,US.TSLA,LONG,620,2,2,True,True,True,True
2026-08-12,US.AAPL,SHORT,651,2,2,True,True,True,True
2026-08-12,US.AMD,LONG,625,2,2,True,True,True,True
2026-08-12,US.MU,LONG,597,2,2,True,True,True,True
2026-08-12,US.NVDA,LONG,605,2,2,True,True,True,True
2026-08-12,US.QQQ,SHORT,664,2,2,True,True,True,True
2026-08-12,US.SPY,SHORT,657,2,2,True,True,True,True
2026-08-12,US.TSLA,SHORT,613,2,2,True,True,True,True
2026-08-13,US.AAPL,LONG,607,2,2,True,True,True,True
2026-08-13,US.AMD,LONG,599,2,2,True,True,True,True
2026-08-13,US.MSFT,LONG,608,2,2,True,True,True,True
2026-08-13,US.SPY,LONG,587,2,2,True,True,True,True
2026-08-13,US.TSLA,LONG,604,2,2,True,True,True,True
2026-08-14,US.AAPL,SHORT,622,2,2,True,True,True,True
2026-08-14,US.IWM,LONG,597,2,2,True,True,True,True
2026-08-14,US.MSFT,LONG,619,2,2,True,True,True,True
2026-08-14,US.QQQ,SHORT,623,2,2,True,True,True,True
2026-08-14,US.SPY,SHORT,637,2,2,True,True,True,True
2026-08-17,US.AMD,LONG,668,2,2,True,True,True,True
2026-08-17,US.IWM,SHORT,697,2,2,True,True,True,True
2026-08-17,US.MU,LONG,599,2,2,True,True,True,True
2026-08-17,US.NVDA,LONG,705,2,2,True,True,True,True
2026-08-17,US.QQQ,LONG,665,2,2,True,True,True,True
2026-08-17,US.SPY,SHORT,703,2,2,True,True,True,True
2026-08-17,US.TSLA,LONG,668,2,2,True,True,True,True
2026-08-18,US.AMD,SHORT,597,2,2,True,True,True,True
2026-08-18,US.IWM,SHORT,593,2,2,True,True,True,True
2026-08-18,US.NVDA,SHORT,645,2,2,True,True,True,True
2026-08-18,US.QQQ,SHORT,616,2,2,True,True,True,True
2026-08-18,US.SPY,SHORT,612,2,2,True,True,True,True
2026-08-19,US.MSFT,LONG,692,2,2,True,True,True,True
2026-08-19,US.MU,SHORT,650,2,2,True,True,True,True
2026-08-19,US.QQQ,SHORT,596,2,2,True,True,True,True
2026-08-19,US.SPY,SHORT,612,2,2,True,True,True,True
2026-08-20,US.AAPL,SHORT,671,2,2,True,True,True,True
2026-08-20,US.AMD,SHORT,666,2,2,True,True,True,True
2026-08-20,US.IWM,SHORT,600,2,2,True,True,True,True
2026-08-20,US.META,SHORT,668,2,2,True,True,True,True
2026-08-20,US.MU,LONG,628,2,2,True,True,True,True
2026-08-20,US.QQQ,SHORT,603,2,2,True,True,True,True
2026-08-20,US.SPY,SHORT,619,2,2,True,True,True,True
2026-08-21,US.META,LONG,653,2,2,True,True,True,True
2026-08-21,US.NVDA,SHORT,710,2,2,True,True,True,True
2026-08-21,US.QQQ,SHORT,595,2,2,True,True,True,True
2026-08-24,US.META,LONG,651,2,2,True,True,True,True
2026-08-24,US.MU,SHORT,599,2,2,True,True,True,True
2026-08-25,US.MSFT,LONG,662,2,2,True,True,True,True
2026-08-25,US.NVDA,LONG,601,2,2,True,True,True,True
2026-08-25,US.QQQ,SHORT,710,2,2,True,True,True,True
2026-08-25,US.SPY,SHORT,606,2,2,True,True,True,True
2026-08-25,US.TSLA,LONG,589,2,2,True,True,True,True
2026-08-26,US.MSFT,LONG,620,2,2,True,True,True,True
2026-08-27,US.QQQ,LONG,713,2,2,True,True,True,True
2026-08-27,US.SPY,LONG,619,2,2,True,True,True,True
2026-08-28,US.NVDA,SHORT,665,2,2,True,True,True,True
2026-08-28,US.SPY,SHORT,604,2,2,True,True,True,True
2026-08-31,US.IWM,SHORT,618,2,2,True,True,True,True
2026-08-31,US.QQQ,SHORT,624,2,2,True,True,True,True
2026-09-02,US.AMD,SHORT,663,2,2,True,True,True,True
2026-09-02,US.IWM,LONG,699,2,2,True,True,True,True
2026-09-02,US.NVDA,LONG,599,2,2,True,True,True,True
2026-09-04,US.AMD,LONG,638,2,2,True,True,True,True
2026-09-04,US.MU,LONG,693,2,2,True,True,True,True
2026-09-04,US.NVDA,LONG,603,2,2,True,True,True,True
2026-09-04,US.QQQ,LONG,606,2,2,True,True,True,True
2026-09-04,US.SPY,SHORT,615,2,2,True,True,True,True
2026-09-09,US.AMD,LONG,695,2,2,True,True,True,True
2026-09-09,US.NVDA,SHORT,683,2,2,True,True,True,True
2026-09-09,US.SPY,SHORT,626,2,2,True,True,True,True
2026-09-10,US.AMD,SHORT,605,2,2,True,True,True,True
2026-09-10,US.NVDA,SHORT,650,2,2,True,True,True,True
2026-09-10,US.SPY,SHORT,602,2,2,True,True,True,True
2026-09-10,US.TSLA,LONG,720,2,2,True,True,True,True
2026-09-11,US.AMD,LONG,671,2,2,True,True,True,True
2026-09-11,US.QQQ,LONG,587,2,2,True,True,True,True
